task,dataset,network_type,network_depth,network_activation,accuracy_pct,accuracy,loss,lr,global_step,datetime
logical_and,random_pos,dense,1,sigmoid,100.0%,1.0,0.0025150855,0.009999993,1000,2018-11-02 22:28:32
logical_or,random_pos,dense,1,sigmoid,100.0%,1.0,0.0024894588,0.009999993,1000,2018-11-02 22:28:49
logical_xor,random_pos,dense,1,sigmoid,100.0%,1.0,0.0024959976,0.009999993,1000,2018-11-02 22:29:03
reduce_sum,one_hot,dense,1,sigmoid,0.0%,0.0,1.0,1.0,1000,2018-11-02 22:33:31
reduce_max,one_hot,dense,1,sigmoid,100.0%,1.0,1.2809268e-08,1.0,100,2018-11-02 22:33:52
concat,one_hot,dense,1,sigmoid,100.0%,0.9967246,0.0016930908,1.0,100,2018-11-02 22:34:13
dot,one_hot,dense,1,sigmoid,99.0%,0.9905,0.009498959,1.0,100,2018-11-02 22:34:34
elementwise_mul,one_hot,dense,1,sigmoid,100.0%,0.99979883,0.000112319445,1.0,100,2018-11-02 22:34:54
one_hot_sum,one_hot,dense,1,sigmoid,99.0%,0.9939609,0.0049731834,1.0,100,2018-11-02 22:35:14
elementwise_add,one_hot,dense,1,sigmoid,99.0%,0.9918906,0.0038490735,1.0,100,2018-11-02 22:35:35
equality,one_hot,dense,1,sigmoid,99.0%,0.99151564,0.004351081,1.0,100,2018-11-02 22:35:56
logical_and,one_hot,dense,1,sigmoid,100.0%,0.99991995,8.084412e-05,1.0,100,2018-11-02 22:36:15
logical_or,one_hot,dense,1,sigmoid,99.0%,0.99215233,0.004029948,1.0,100,2018-11-02 22:36:36
logical_xor,one_hot,dense,1,sigmoid,99.0%,0.9916699,0.004251521,1.0,100,2018-11-02 22:36:57
reduce_sum,many_hot,dense,1,sigmoid,0.0%,0.0,16158.823,0.001,1000,2018-11-02 22:44:50
reduce_max,many_hot,dense,1,sigmoid,100.0%,0.99975,0.00074296707,0.001,100,2018-11-02 22:45:25
concat,many_hot,dense,1,sigmoid,100.0%,1.0,1.1909922e-06,0.0010000006,30000,2018-11-02 22:49:53
dot,many_hot,dense,1,sigmoid,0.0%,0.0,976.88226,1.0,1000,2018-11-02 22:57:52
elementwise_mul,many_hot,dense,1,sigmoid,100.0%,0.99994725,1.0882115e-05,0.009999993,30000,2018-11-02 23:05:54
one_hot_sum,many_hot,dense,1,sigmoid,99.0%,0.9921875,0.0078125,0.1,100,2018-11-02 23:10:48
elementwise_add,many_hot,dense,1,sigmoid,75.0%,0.7512461,0.24875437,0.0010000006,30000,2018-11-02 23:15:33
equality,many_hot,dense,1,sigmoid,0.0%,0.0,0.2557615,0.0010000006,1000,2018-11-02 23:20:01
logical_and,many_hot,dense,1,sigmoid,100.0%,0.9999082,1.2829596e-05,0.009999993,30000,2018-11-02 23:28:06
logical_or,many_hot,dense,1,sigmoid,100.0%,1.0,2.7171794e-08,0.009999993,30000,2018-11-02 23:36:30
logical_xor,many_hot,dense,1,sigmoid,0.0%,0.00080078124,0.26535025,0.0001,1000,2018-11-02 23:40:23
reduce_sum,random,dense,2,linear,100.0%,1.0,1.3178307e-13,0.001,1000,2018-11-02 23:41:37
reduce_max,random,dense,2,linear,100.0%,1.0,0.00039812142,0.0010000006,400,2018-11-02 23:42:31
concat,random,dense,2,linear,100.0%,1.0,6.297677e-05,0.0010000006,1000,2018-11-02 23:42:40
dot,random,dense,2,linear,4.0%,0.03575,13.792456,9.999996e-06,30000,2018-11-02 23:46:25
elementwise_mul,random,dense,2,linear,45.0%,0.44726953,0.11163164,0.0010000006,30000,2018-11-02 23:50:20
one_hot_sum,random,dense,2,linear,100.0%,0.99596095,0.004874474,0.0010000006,1000,2018-11-02 23:50:33
elementwise_add,random,dense,2,linear,100.0%,1.0,2.5970906e-11,0.0010000006,1000,2018-11-02 23:50:46
equality,random,dense,2,linear,100.0%,1.0,1.2433945e-05,0.0010000006,1000,2018-11-02 23:51:01
logical_and,random,dense,2,linear,100.0%,1.0,0.00017237148,0.0010000006,1000,2018-11-02 23:51:19
logical_or,random,dense,2,linear,100.0%,1.0,0.0001658817,0.0010000006,1000,2018-11-02 23:51:36
logical_xor,random,dense,2,linear,100.0%,1.0,1.2635717e-05,0.0010000006,1000,2018-11-02 23:51:45
reduce_sum,random_pos,dense,2,linear,100.0%,1.0,1.2574233e-13,0.0010000006,1000,2018-11-02 23:52:02
reduce_max,random_pos,dense,2,linear,100.0%,0.99975,0.0018183956,0.0010000006,1000,2018-11-02 23:52:17
concat,random_pos,dense,2,linear,100.0%,1.0,4.4979703e-07,0.0010000006,1000,2018-11-02 23:52:26
